Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,..,6.89783330760239,7.07583114620322,7.26138814759269,7.45635208751461,7.6618879160142,7.87890915506936,8.10666460819126,8.3426492578461,8.58335899075892,8.82641979665204,9.07031825500099,9.31613330098586,9.56716393551091,9.82815685582585,10.1022557949759,10.3919503319292,10.6956397079906,11.0075450475287,11.3195050836991,11.6263258419532,11.9271599655941,12.2261692507885,12.5294439910897,12.8455367107033,13.1816439866787,13.5355744249134,13.9078639641825,14.3111779625505,14.7616686883836,15.2685564941223,15.8420965571999,16.4734553715181,17.1295714695309,17.7648049226969,18.3479605654926,18.8661670452791,19.33355947156,19.7792413047793,20.2459879579189,20.765482455173,21.3468331091065,21.9826452879292,22.6682397829779,23.3934924240753,24.1509785845041,24.941228027613,25.7680959837675,26.6309115370195,27.5289186387596,28.4613321276549,29.4274925564059,30.4266257912265,31.4576356939635,32.5192915903928,33.6104713173507,34.7306645199709,35.8792210140932,..
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,15248251,15637733,16041263,16461930,16903923,17369883,17861881,18378214,18913203,19458904,20009935,20562865,21120140,21689239,22280923,22902319,23559071,24247550,24954655,25661884,26357462,27039468,27717337,28404876,29121474,29883446,30685824,31529823,32444156,33465441,34614581,35914825,37346147,38833595,40273701,41595744,42770544,43830146,44840529,45898667,47076387,48394338,49835756,51390033,53034217,54751476,56543011,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81339988,..
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,220.314062094535,197.390942609319,235.632408032424,377.427539940594,170.466067121063,232.811114397363,253.761638083816,184.134506854579,206.722284899187,258.618623641901,243.763156161159,272.081266850774,292.314009962588,362.863789784319,430.725431780394,447.000287335649,409.54854395541,509.099878691772,616.021660182933,587.190801593767,546.142397734072,463.685936358667,492.53170934739,387.493775732312,269.825943329772,240.770178111557,263.814560372167,242.996145984614,273.12468774782,269.587446203377,270.110580866773,268.007344390812,220.299671269081,275.695823081601,144.520669910173,135.673480827868,134.939946979025,138.964642011182,138.615475965894,102.644798535712,405.469653093749,153.69957329168,175.136071481294,173.916351831834,194.166786345182,218.523509172798,255.591313804132,286.507537174865,327.767654268638,298.806956230642,334.231702517329,387.323579611864,424.859318512183,458.238406189045,487.081486881176,497.629755725505,471.635945618558,462.779544082555,..
"Congo, Dem. Rep.",COD,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.2,..,..,..,..,..,..,..,42.1,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.84910011291504,..,..,..,..,..,..,4.48519992828369,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,289.844727084303,113.584666666667,128.444708097928,104.00210747895,169.786611378329,232.936231054902,243.595506269697,152.187001902338,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,3359404117.64706,3086746857.14286,3779841428.57143,6213185742.57426,2881545272.72727,4043901818.18182,4532660181.81818,3384063371.75792,3909780538.92216,5032434970.05988,4877684910.17964,5594770359.28144,6173712814.37126,7870239461.07784,9596960179.64072,10237343173.6527,9648583224.99212,12344424763.5727,15372608002.3923,15068422236.3663,14394927494.8647,12537821038.2202,13651667371.1676,11006712650.4481,7857729193.20343,7195042616.0071,8095367168.21769,7661625472.57705,8861299976.74158,9021862775.25978,9349764580.36997,9625436872.51075,8227343907.26679,10706259936.7425,5820382248.28202,5643439376.10491,5771454939.62404,6090840548.18784,6215591269.89747,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14451902467.9315,16737071816.38,19788515873.8942,18648373312.4241,21565720044.4634,25839749198.8233,29306235826.3886,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,37642482562.3205,..
"Congo, Rep.",COG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.7,..,..,..,..,..,..,46.5,..,..,..,..,..,..,..
"Congo, Rep.",COG,Population density (people per sq. km of land area),EN.POP.DNST,..,3.11599121522694,3.19851244509517,3.28472913616398,3.37455929721816,3.46798243045388,3.5648345534407,3.66530893118594,3.77017862371889,3.88037188872621,3.99652122986823,4.11901317715959,4.24749048316252,4.38081112737921,4.51739385065886,4.6560439238653,4.79631332357247,4.93857686676427,5.08374524158126,5.23317423133236,5.38780380673499,5.54809956076135,5.71360175695461,5.88335285505124,6.05602342606149,6.2306588579795,6.40716251830161,6.58607906295754,6.76822254758419,6.95463543191801,7.14628696925329,7.34340263543192,7.54622254758419,7.75551098096633,7.97217276720351,8.19693997071742,8.43110395314788,8.67487554904832,8.92665592972182,9.18402342606149,9.44575988286969,9.70953440702782,9.97710102489019,10.2562781844802,10.557654465593,10.8879736456808,11.2514348462665,11.6434729136164,12.0510541727672,12.4559648609078,12.8453674963397,13.2144363103953,13.5676808199122,13.9133030746706,14.2638389458272,14.6285446559297,15.0097247437775,15.404831625183,..
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,1037220,1064111,1092292,1121735,1152412,1184316,1217391,1251703,1287516,1325147,1364812,1406643,1450518,1496047,1542690,1590039,1637941,1686524,1736099,1787129,1839935,1894676,1951195,2009165,2068132,2127770,2188046,2249146,2311348,2375008,2440457,2507772,2577035,2648507,2722497,2799255,2879222,2962470,3048453,3136344,3225727,3315806,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5260750,..
